Step       0 (bc0.0)s   | [R_te] min: 19.96           max: 20.77          Avg: 20.28 (0.07)        | [MSE_tr]  0.5009   
Step  189000 (bc5.1)s   | [R_te] min: 249.45          max: 4343.60        Avg: 1705.97 (481.21)    | [MSE_tr]  0.2225   
Step  190000 (bc5.0)s   | [R_te] min: 285.86          max: 4309.18        Avg: 2121.13 (534.38)    | [MSE_tr]  0.2223   
Step  191000 (bc5.0)s   | [R_te] min: 238.60          max: 4463.10        Avg: 1825.15 (527.72)    | [MSE_tr]  0.2225   
Step  192000 (bc5.2)s   | [R_te] min: 212.82          max: 4217.61        Avg: 1062.81 (354.70)    | [MSE_tr]  0.2227   
Step  193000 (bc5.2)s   | [R_te] min: 187.73          max: 4233.74        Avg: 1764.89 (462.74)    | [MSE_tr]  0.2223   
Step  194000 (bc5.2)s   | [R_te] min: 464.08          max: 4061.28        Avg: 2498.89 (371.87)    | [MSE_tr]  0.2222   
Step  195000 (bc5.1)s   | [R_te] min: 342.98          max: 3977.19        Avg: 1178.80 (389.71)    | [MSE_tr]  0.2219   
Step  196000 (bc5.1)s   | [R_te] min: 374.87          max: 3254.18        Avg: 1199.37 (259.33)    | [MSE_tr]  0.2224   
Step  197000 (bc5.1)s   | [R_te] min: 425.55          max: 4368.12        Avg: 1152.78 (388.65)    | [MSE_tr]  0.2222   
Step  198000 (bc5.1)s   | [R_te] min: 455.33          max: 4193.51        Avg: 1219.00 (348.84)    | [MSE_tr]  0.2220   
Step  199000 (bc5.1)s   | [R_te] min: 238.86          max: 4463.76        Avg: 1419.40 (474.08)    | [MSE_tr]  0.2227   
Step  200000 (bc5.1)s   | [R_te] min: 258.70          max: 4401.28        Avg: 1523.18 (473.70)    | [MSE_tr]  0.2222   
Step  201000 (bc5.0)s   | [R_te] min: 244.76          max: 2181.70        Avg: 872.89 (186.77)     | [MSE_tr]  0.2225   
